,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
389,1,0,3.4,6,4,73,300.0,8242
390,1,0,3.8,53,31,73,250.0,8242
391,1,0,3.7,67,48,24,700.0,8242
392,1,0,2.9,23,31,83,250.0,3202
393,1,0,3.4,19,1,73,200.0,8242
394,1,0,3.6,24,1,73,300.0,8242
395,1,0,4.0,232,31,73,400.0,8242
396,1,0,3.9,221,31,24,700.0,8242
397,1,1,4.1,1063,31,25,1200.0,8242
398,1,0,3.7,93,4,73,200.0,8242
399,1,0,3.9,233,31,24,800.0,8242
400,1,0,3.9,211,31,24,500.0,8242
401,1,0,4.0,1778,31,73,200.0,49
402,1,0,3.6,218,86,24,800.0,8242
403,1,0,3.7,514,4,16,600.0,8242
404,1,1,4.0,866,31,24,900.0,8242
405,1,0,3.2,96,48,73,400.0,8242
406,1,0,3.5,80,1,73,250.0,8242
407,1,0,4.0,73,4,0,300.0,4953
408,1,0,3.9,84,31,83,400.0,8242
409,1,0,3.5,88,1,73,350.0,8242
410,1,0,3.5,179,1,24,600.0,8242
411,1,0,3.8,61,4,73,100.0,8242
412,1,0,3.7,128,83,24,450.0,8242
413,1,0,3.8,339,31,73,400.0,1161
414,1,0,4.1,449,4,73,100.0,8242
415,1,0,4.1,210,31,39,150.0,8242
416,1,0,3.7,57,4,73,200.0,8242
417,1,0,3.0,213,1,73,400.0,8242
418,1,0,3.2,208,31,14,250.0,6682
419,1,0,3.8,70,1,73,100.0,191
420,1,0,4.0,219,4,16,600.0,8242
421,1,0,3.7,59,1,73,200.0,8242
422,1,0,3.1,10,1,73,500.0,8242
423,1,0,3.0,9,48,73,400.0,8242
424,1,0,3.7,124,48,24,750.0,8242
425,1,0,3.7,19,48,73,100.0,160
427,1,0,3.3,4,4,73,150.0,8242
428,1,0,3.3,4,48,37,150.0,8242
429,1,0,3.8,21,4,37,200.0,8242
430,1,0,3.4,8,1,74,250.0,105
431,1,0,3.5,10,48,73,400.0,8242
433,1,0,3.5,10,48,73,400.0,6439
434,1,0,3.2,4,48,73,200.0,8242
435,1,0,3.1,4,1,36,350.0,4540
437,1,0,3.6,16,29,86,500.0,8242
441,1,0,3.4,12,31,73,300.0,8242
443,1,0,3.9,14,31,24,600.0,6719
444,1,0,3.7,0,31,73,300.0,1079
445,1,0,2.8,5,13,86,199.0,8242
446,1,0,3.3,5,4,25,800.0,8242
447,1,0,3.5,15,1,73,250.0,8242
448,1,0,3.4,4,4,24,500.0,8242
450,1,0,3.6,17,4,73,300.0,8242
453,1,0,3.3,6,1,73,500.0,3050
454,1,0,3.4,10,1,73,100.0,8242
456,1,1,4.1,775,1,24,800.0,8242
457,1,1,4.2,2022,31,24,1000.0,8242
460,1,1,4.2,150,1,16,600.0,2288
461,1,0,4.0,232,4,24,750.0,8242
462,1,0,3.9,38,4,73,200.0,8242
464,1,1,3.5,431,31,24,800.0,8242
465,1,1,4.2,2115,1,24,800.0,8242
466,1,0,3.4,30,83,73,200.0,8242
467,1,0,4.2,150,31,24,800.0,2738
468,1,0,3.3,12,48,73,200.0,8242
469,1,0,3.8,155,31,24,450.0,8242
470,1,0,3.7,33,4,73,200.0,8242
471,1,1,4.1,666,31,25,1000.0,8242
473,1,0,3.9,240,4,16,700.0,8242
474,1,0,3.8,918,1,19,800.0,8242
475,1,0,4.0,465,31,24,600.0,4478
476,1,1,4.1,970,31,65,1500.0,8242
477,1,0,3.3,128,1,73,300.0,8242
478,1,0,3.6,241,48,73,300.0,8242
479,1,0,3.4,22,1,73,200.0,8242
480,1,0,4.3,734,1,73,200.0,5162
481,1,0,3.8,130,31,73,400.0,8242
482,1,0,4.2,261,31,16,700.0,8242
483,1,0,4.0,191,48,73,300.0,190
484,1,0,4.1,364,4,24,550.0,204
486,1,0,3.8,133,1,73,300.0,8242
487,1,0,3.9,888,1,24,750.0,4468
488,1,0,3.1,13,1,16,400.0,8242
489,1,0,3.9,750,4,24,500.0,5475
490,1,1,4.2,164,1,16,500.0,8242
492,1,0,3.2,6,1,36,200.0,6168
493,1,0,3.8,527,4,24,500.0,8242
494,0,0,4.3,345,1,37,400.0,8242
495,0,0,4.4,356,1,83,150.0,8242
496,1,0,3.7,17,1,37,400.0,6516
497,1,0,3.9,38,1,37,150.0,2977
498,0,0,3.7,78,1,3,150.0,8242
499,0,0,3.8,60,1,37,400.0,8242
500,1,0,4.0,115,1,83,400.0,6863
501,0,0,3.8,39,1,0,300.0,8242
502,1,0,3.9,116,1,37,400.0,4314
503,1,0,3.8,918,1,19,800.0,8242
504,0,0,3.7,46,1,84,400.0,8242
505,1,0,3.9,41,1,37,300.0,8242
506,1,0,3.8,144,1,16,700.0,8242
507,0,0,3.8,28,1,13,150.0,8242
